SWC,DAY,DOY,TA,SW,TS,LE,GPP,RECO,P0
26.5,660,295,-3.738,268.705,2.597,21.8128,0.630877,0.885385,1.4
7,739,9,-17.295,183.733,-5.336,10.4435,0.346886,0.293,1.4
30.7,871,141,-1.567,469.782,4.756,42.476,1.53847,2.17381,1.4
30.8,878,148,0.884,476.598,5.685,51.0072,2.03278,1.44334,1.4
31.4,920,190,8.137,481.565,12.28,69.9579,6.28903,6.28031,1.4
24.9,936,206,6.04,467.534,14.384,153.088,9.79031,7.45029,1.4
30.7,1001,271,5.186,335.779,8.864,23.6373,1.35599,1.72981,1.4
25.2,186,186,0.003,483.241,10.074,123.612,6.01861,5.35546,1.5
25.5,194,194,5.036,478.094,11.005,107.967,6.97856,6.33061,1.5
31,222,222,3.44,443.643,10.635,62.343,6.87563,4.5008,1.5
26.6,644,279,-2.761,311.533,3.931,32.8475,1.10775,1.74745,1.5
27.3,903,173,5.302,486.971,11.242,107.026,6.75286,4.07522,1.5
28.1,976,246,5.285,398.168,11.971,80.7078,6.31052,6.54618,1.5
28.3,1016,286,-1.243,295.291,4.086,17.5814,0.866643,1.46437,1.5
11.2,89,89,-1.906,373.077,0.838,32.316,0.313472,0.694006,1.6
21.6,103,103,-12.119,406.975,-0.269,49.2941,0.182741,0.432686,1.6
27.6,228,228,2.655,433.145,11.913,107.153,6.91231,3.40704,1.6
26.6,285,285,-2.619,295.291,2.979,15.8821,1.04298,1.54076,1.6
26.8,286,286,-1.844,292.595,4.269,42.7237,1.11126,2.15656,1.6
34,852,122,-1.501,442.919,3.844,43.5406,1.42298,2.38223,1.6
24.1,205,205,3.411,467.534,11.702,125.868,7.10546,6.55248,1.7
23,521,156,-0.482,482.856,6.261,80.1462,3.95142,1.67258,1.7
31.1,870,140,0.172,468.671,5.088,77.4727,1.55652,2.43277,1.7
30.9,1000,270,3.499,338.443,9.601,46.2746,2.40095,2.17396,1.7
20.5,94,94,-2.399,385.692,1.877,46.4476,0.244115,1.11408,1.8
29.6,635,270,2.483,335.779,7.878,54.0961,2.29533,2.31667,1.8
31,918,188,9.516,482.717,13.88,88.6129,7.34577,7.40596,1.8
26.5,973,243,7.169,404.86,12.878,54.0567,6.49969,5.63211,1.8
27.7,1032,302,-6.598,253.403,0.437,23.8392,0.488355,0.978006,1.8
7.7,70,70,-13.75,321.582,-2.671,47.0978,0.395321,0.419711,1.9
26.6,135,135,-0.394,463.884,3.626,66.5573,1.33198,1.08747,1.9
24.2,190,190,1.694,480.938,10.079,94.0526,5.63335,3.5135,1.9
9.5,446,81,-11.437,351.942,-0.409,21.6248,0.672267,0.515196,1.9
24,515,150,1.554,478.997,6.068,35.7481,2.19802,1.89629,1.9
25.9,572,207,9.78,465.19,13.061,68.4172,5.70986,5.43362,1.9
30.2,634,269,0.378,338.443,6.25,49.6648,1.68749,2.10112,1.9
30.6,962,232,6.223,427.518,12.377,53.4206,6.51879,3.98996,1.9
24.2,117,117,-0.517,435.767,4.298,53.3698,0.101088,0.869276,2
26.5,134,134,-1.494,462.602,2.023,36.8457,1.2999,0.883069,2
27.5,250,250,-0.378,386.57,7.888,69.1025,4.3143,2.29135,2
23.7,311,311,-4.993,229.729,-0.103,17.512,0.45161,0.635983,2
27,492,127,-1.852,452.692,2.872,22.2245,0.927506,1.25184,2
26.9,662,297,-5.41,263.532,2.788,28.0364,0.570647,0.875177,2
27.4,893,163,0.162,485.452,8.391,74.8369,4.39988,3.14418,2
9.3,80,80,-8.552,349.232,-1.122,21.8303,0.0970311,0.282572,2.1
26.2,178,178,0.888,486.204,9.789,122.478,5.7034,2.81209,2.1
28.9,224,224,5.827,440.258,11.087,90.8678,7.09315,4.80448,2.1
27.8,597,232,4.629,425.587,10.195,61.3486,6.83162,5.47821,2.1
11.3,816,86,-4.847,362.64,0.224,37.0146,0.504214,0.635674,2.1
31.7,965,235,4.27,421.647,10.617,123.008,7.51014,5.08633,2.1
29.8,996,266,0.976,348.996,8.583,64.0486,3.16382,2.72503,2.1
26.3,974,244,5.688,402.652,13.062,112.766,6.23973,5.90826,2.2
24.3,1050,320,-8.173,213.049,-0.399,17.591,0.372006,0.577379,2.2
25.3,193,193,2.339,478.855,7.956,37.374,4.7398,4.10707,2.3
28.6,866,136,1.589,463.884,6.706,74.6296,1.53961,2.07601,2.3
27.3,902,172,3.925,486.977,8.931,51.6964,4.96321,3.98176,2.3
27.7,1031,301,-6.116,255.906,0.337,18.1344,0.76816,1.00242,2.3
25.7,183,183,2.393,484.611,10.564,80.7196,4.65495,3.41964,2.4
24.6,232,232,8.158,425.587,13.235,85.38,7.10566,6.28853,2.4
25.7,496,131,0.15,458.555,4.875,31.6885,0.95788,1.55776,2.4
27.9,947,217,4.413,453.087,12.46,81.3235,8.62474,6.64501,2.4
25.4,146,146,0.642,475.727,6.594,77.3891,1.63312,1.67868,2.5
23,682,317,-11.138,216.998,-1.26,12.9798,0.518773,0.670765,2.5
31,868,138,-1.843,466.345,3.114,22.692,1.26851,1.60702,2.5
29.8,967,237,2.321,417.602,11.513,94.7502,6.85651,6.01339,2.5
26.4,218,218,9.926,450.059,15.852,103.518,8.19043,8.68456,2.6
28.7,277,277,-0.854,316.95,5.95,41.5164,1.99627,2.04419,2.6
30,615,250,5.053,386.57,10.611,74.9917,5.86966,4.07132,2.6
26.9,897,167,5.058,486.481,9.202,45.8889,4.18565,3.69781,2.6
26.3,177,177,1.538,486.419,9.866,88.9414,5.37475,1.83785,2.7
26.4,240,240,7.3,409.206,12.325,48.6281,4.38318,4.07594,2.7
26.4,284,284,-2.409,297.992,3.832,12.584,0.823843,1.3237,2.7
7.3,425,60,-10.842,293.569,-3.762,17.177,0.421616,0.555051,2.7
27.7,627,262,2.881,356.791,8.518,44.981,3.07052,2.52085,2.7
27,895,165,2.084,486.036,9.261,67.6658,4.55938,3.28624,2.7
31.4,876,146,-1.006,474.822,4.914,47.8793,1.92362,0.85631,2.8
25.7,196,196,6.503,476.471,10.66,53.862,5.18139,5.10517,2.9
26.7,239,239,4.227,411.342,12.171,73.0595,6.08369,3.87775,2.9
29.1,274,274,0.235,325.052,5.481,32.6994,1.80186,2.39436,2.9
30,592,227,6.648,434.967,11.127,25.9014,4.02966,4.75555,2.9
27.7,596,231,3.324,427.518,9.51,48.5997,6.34485,5.75353,2.9
14.2,805,75,-5.184,332.739,-1.379,20.3253,0.479025,0.104017,2.9
27.4,886,156,1.494,482.3,7.799,25.8561,3.15118,3.53237,2.9
28.5,594,229,1.88,431.298,11.41,110.689,7.37586,4.74579,3
29.6,603,238,2.689,413.454,10.739,69.8648,6.61015,3.26238,3
32.8,959,229,5.719,433.145,11.998,81.9958,8.29755,7.47734,3
27.4,1023,293,-2.462,276.572,3.826,14.1167,0.42669,1.85182,3
24.1,1048,318,-7.826,216.998,-0.43,17.3613,0.382816,0.612166,3
25.6,140,140,0.208,469.782,5.366,45.0657,1.1234,1.23057,3.1
29.1,275,275,-0.2,322.355,5.591,32.3982,1.84546,2.25746,3.1
24.1,512,147,1.723,476.598,6.19,38.5383,1.76225,2.27241,3.1
23.5,530,165,3.102,486.276,7.81,80.6773,3.42503,2.45358,3.1
27.9,625,260,-0.068,361.919,7.423,47.1457,3.38037,2.31385,3.1
25.7,653,288,-0.815,287.221,3.621,26.7967,0.627048,1.17855,3.1
26.5,137,137,-1.603,466.345,3.583,43.692,1.10326,0.919277,3.3
19.2,563,198,3.87,474.714,9.679,32.8088,5.30061,3.67363,3.3
26,655,290,-1.758,281.876,2.88,20.4357,0.476152,1.09781,3.3
19.4,823,93,-6.463,380.708,0.754,61.3559,0.746437,1.34875,3.3
30.4,910,180,3.023,485.955,10.431,130.235,7.88233,4.23216,3.4
19.4,564,199,3.946,473.787,9.741,72.9388,8.04328,4.00465,3.5
31.2,917,187,6.749,483.241,11.751,91.17,8.12247,6.39805,3.5
12.3,810,80,-2.833,346.51,-0.376,34.76,0.554873,0.975025,3.6
23.4,125,125,0.348,449.564,3.636,32.554,0.330977,0.647726,3.7
25.4,195,195,3.181,477.298,9.963,49.3931,5.80116,5.59215,3.7
25.3,201,201,1.221,471.832,9.978,79.4112,6.24891,4.22012,3.7
23.4,113,113,-5.062,428.123,1.153,59.8226,0.450333,0.599231,3.8
28.7,272,272,0.913,330.43,6.912,9.89572,1.51515,2.53752,3.8
22.4,323,323,-6.222,205.641,-0.513,9.9733,0.204136,1.50959,3.8
27.4,498,133,-0.677,461.286,3.994,36.9911,0.960114,1.50956,3.8
26.8,217,217,7.691,451.588,14.553,100.587,7.70944,8.22557,3.9
23.6,315,315,-12.005,221.1,-0.284,20.2299,0.396891,0.45115,3.9
15.3,817,87,-4.523,365.275,0.162,29.3961,0.520427,0.466703,3.9
22.8,583,218,8.828,450.059,16.463,133.695,9.04312,7.00278,4
32.7,1005,275,1.317,325.052,6.213,18.1641,1.1069,0.891362,4
23.8,116,116,0.24,433.902,3.92,37.8831,0.136515,0.828374,4.1
24.7,188,188,4.368,482.157,11.196,68.4627,5.73287,4.19552,4.1
25.3,236,236,9.125,417.602,14.105,55.9846,5.41451,5.90367,4.1
31.3,999,269,1.341,341.097,8.248,59.6743,3.56498,2.36526,4.1
24.2,129,129,-4.22,455.69,3.457,75.6682,0.549072,0.930473,4.2
24.1,150,150,5.826,478.997,8.961,45.6292,1.53662,1.84586,4.2
25.1,469,104,-9.796,409.214,-0.197,24.3416,0.364858,0.738275,4.2
29.7,629,264,-1.145,351.608,4.893,56.0267,2.88042,1.717,4.2
26.2,659,294,-3.336,271.314,1.957,15.6996,0.386422,0.858661,4.3
31.5,960,230,5.134,431.297,12.547,114.425,9.15043,7.53014,4.3
8.4,76,76,-8.261,338.276,-0.977,47.7119,0.439442,0.996823,4.4
26.9,268,268,5.051,341.097,9.101,50.2873,3.06329,3.37881,4.4
24.7,96,96,-5.68,390.588,0.855,39.6533,0.271398,0.785382,4.5
30.5,614,249,5.279,388.932,9.524,30.3282,3.36367,3.76933,4.5
24.7,118,118,-2.626,437.602,3.02,64.4512,3.72E-06,0.736602,4.6
23.9,132,132,-1.768,459.937,4.339,40.8526,0.935004,1.17789,4.6
27.8,220,220,5.251,446.91,13.276,112.389,8.08094,7.19343,4.6
26.8,975,245,6.812,400.422,12.453,42.1279,4.97626,5.88016,4.6
24.6,932,202,2.392,471.832,9.648,43.9728,4.9117,3.42638,4.9
25.1,573,208,7.713,463.97,12.035,150.172,8.3694,5.92614,5
27.6,1024,294,-4.281,273.936,2.412,19.7868,0.669319,1.45745,5
23.8,126,126,-2.486,451.144,3.214,72.2159,0.643048,0.871519,5.1
27.2,587,222,6.838,443.643,12.407,19.1581,3.24502,4.88948,5.1
13.8,91,91,-6.559,378.184,0.349,45.6544,0.252868,0.467646,5.2
32.1,942,212,8.648,460.124,13.799,63.002,7.09875,7.29672,5.2
29,993,263,3,356.791,8.754,47.1751,3.18623,3.13655,5.2
26.8,269,269,1.961,338.443,8.434,70.4795,2.69028,3.14447,5.3
20.9,818,88,-3.704,367.894,0.315,41.3794,0.625233,0.47422,5.3
26.8,891,161,1.952,484.727,8.468,97.5963,4.61059,2.74085,5.4
28,980,250,-0.201,388.932,7.742,71.7664,5.16416,4.02107,5.4
26.4,890,160,5.112,484.312,8.302,47.6141,3.33201,2.59594,5.5
10,449,84,-7.464,359.988,-0.303,21.5149,0.458002,0.939689,5.6
23.2,112,112,-1.908,426.137,3.017,58.6584,0.446364,0.777144,5.8
25.9,161,161,1.84,485.107,7.472,36.1164,3.02314,1.63164,5.8
28.8,632,267,1.689,343.741,6.725,20.6311,1.53251,1.76375,5.8
25.3,200,200,4.324,472.826,11.657,106.965,7.66166,4.87031,5.9
29.2,213,213,6.916,457.401,12.637,91.6992,7.44424,7.28763,5.9
28.2,865,135,0.623,462.602,5.364,42.5649,1.64378,1.82321,5.9
8.7,77,77,-8.383,341.031,-0.693,29.178,0.146429,0.840506,6.1
23.5,210,210,6.176,461.438,12.962,36.7415,5.0742,6.03276,6.1
28,619,254,-1.086,376.925,6.727,54.7025,3.94133,1.115,6.1
25.5,985,255,6.059,376.925,10.016,17.3284,1.35337,2.76315,6.1
28,226,226,6.039,436.759,11.803,71.7815,6.36893,4.88971,6.2
9.3,445,80,-6.319,349.232,-0.376,18.6198,0.550151,0.451345,6.2
30.3,909,179,5.485,486.204,10.871,84.8132,5.85648,3.7313,6.2
22.8,172,172,5.156,486.971,9.46,34.5374,2.467,2.79404,6.3
22.8,548,183,4.897,484.611,10.844,52.1864,5.9425,5.87283,6.3
23.5,167,167,2.05,486.65,10.352,63.9771,3.32525,3.31667,6.4
28.8,246,246,1.432,395.892,8.872,29.1048,3.54887,4.76788,6.4
24.7,133,133,-2.47,461.286,2.27,48.3593,0.555248,0.849668,6.7
27.5,271,271,4.431,333.108,9.962,77.0328,2.23367,3.09558,7
26.5,600,235,5.127,419.637,12.07,90.7437,7.67241,3.95812,7.1
31.4,262,262,0.338,356.791,7.897,46.8814,3.18308,3.64038,7.2
25.2,185,185,2.968,483.732,10.113,87.8694,5.39494,6.26737,7.3
25.9,179,179,4.292,485.955,10.584,77.465,5.7695,3.23341,7.4
26.4,669,304,-6.621,246.027,0.927,22.5956,0.410476,0.633554,7.4
27.1,904,174,4.143,486.93,11.833,118.805,7.25616,4.14511,7.4
30.7,994,264,2.748,354.206,8.863,82.8036,3.60335,2.98112,7.4
20.9,528,163,3.123,485.762,10.055,57.643,2.95287,2.82054,7.5
30.6,602,237,5.012,415.54,11.124,113.956,8.20656,2.58461,7.5
26.8,899,169,3.613,486.784,9.168,56.4029,5.36062,5.31105,7.5
23.5,207,207,9.5,465.19,12.047,30.2956,3.51428,7.30362,7.6
23.4,510,145,2.23,474.822,6.192,33.8589,1.01098,1.83842,7.6
25.4,610,245,3.902,398.168,11.848,69.1147,6.9453,3.67714,7.7
28.8,913,183,5.574,484.998,10.029,30.4381,4.64854,4.13244,7.8
25.3,142,142,-1.824,471.901,2.164,20.9957,0.847963,0.88413,7.9
26.2,497,132,-3.591,459.937,3.751,66.7507,1.18927,1.45839,8
25.7,237,237,7.206,415.54,12.437,35.5772,5.13317,4.56137,8.1
31.4,1002,272,5.42,333.108,8.168,19.3252,0.956874,1.4329,8.1
30,242,242,5.933,404.86,11.637,54.621,5.11099,2.6291,8.2
18.9,561,196,2.152,476.471,11.204,70.3155,7.11329,3.93615,8.2
29,591,226,9.018,436.759,13.171,40.2045,4.39811,5.31438,8.2
31.8,919,189,9.123,482.157,12.67,25.1315,2.52074,6.66198,8.2
31.3,941,211,9.044,461.438,14.571,58.4761,7.19572,6.92626,8.2
25.8,574,209,6.429,462.72,13.065,109.748,7.55687,5.92257,8.3
24.2,191,191,3.706,480.277,9.143,49.2827,4.41209,3.40057,8.4
27.6,488,123,-5.896,446.306,1.071,39.5473,1.00216,0.844638,8.4
29.7,633,268,0.642,341.097,5.063,27.736,1.65627,1.87039,8.4
23,175,175,7.339,486.744,13.694,118.464,5.65225,3.38682,8.5
31.9,906,176,4.04,486.744,9.571,90.9922,7.19993,3.80985,8.6
13.5,806,76,-8.14,335.512,-1.444,19.7826,0.508335,0.208866,9
21.5,529,164,5.234,486.036,8.568,27.493,1.45762,2.44254,9.3
20.3,546,181,7.101,485.351,10.395,26.0072,2.05193,3.2228,9.5
29.7,867,137,-0.03,465.131,4.629,61.5197,1.51013,1.61188,9.5
26.9,219,219,8.902,448.499,14.694,59.3362,5.94391,8.13568,9.6
27.3,611,246,6.913,395.892,11.165,86.8317,6.30853,3.12148,9.8
30,940,210,9.896,462.72,15.37,97.7344,8.05289,9.09211,9.9
33.2,1004,274,1.723,327.744,6.596,29.0513,1.63641,0.98638,10
31.5,613,248,5.587,391.272,10.28,48.9794,4.63694,3.50753,10.1
29.5,998,268,3.063,343.741,8.783,31.4852,2.55468,2.4893,10.1
25.9,468,103,-5.448,406.975,-0.159,20.7702,0.213233,1.5088,11
23.7,931,201,6.8,472.826,12.621,28.939,4.1392,4.41918,11.1
25.1,176,176,3.076,486.599,10.876,79.7846,4.98717,1.81902,11.3
30.2,916,186,7.177,483.732,10.667,26.3678,4.31706,4.89671,11.4
32.9,1003,273,2.259,330.43,7.448,27.5123,1.54566,1.12832,11.4
32.8,1006,276,-0.875,322.355,4.444,34.5094,1.54986,1.03186,11.7
25.4,233,233,6.465,423.631,13.098,84.8525,7.03672,6.68366,11.8
27.9,628,263,0.543,354.206,5.52,27.9353,1.39449,1.88086,11.8
19.4,545,180,9.217,485.67,13.403,69.8529,5.49283,3.65346,11.9
27.1,954,224,8.769,441.965,14.287,97.4892,8.10478,9.99637,12.1
31.3,261,261,4.461,359.362,10.083,25.1189,2.08509,4.01082,12.2
24.7,570,205,9.915,467.534,13.1,57.5668,5.73831,4.80519,12.3
27.8,601,236,6.844,417.602,11.502,33.5851,3.3302,2.66808,12.6
30.6,989,259,4.863,366.987,10.073,64.035,3.03811,9.40704,12.7
30,964,234,3.932,423.631,10.242,34.067,4.37941,3.21653,12.9
28.9,612,247,7.625,393.593,10.911,22.5354,2.31243,2.97054,13.1
27.4,957,227,8.924,436.759,14.05,20.9596,3.61857,6.79429,13.2
29.5,621,256,-1.281,371.991,4.667,35.8127,2.77918,0.772753,13.7
30.8,260,260,4.717,361.919,10.926,66.6345,3.32956,4.2086,14.5
28.7,948,218,6.685,451.588,11.202,35.9323,6.20108,7.53094,14.9
32.6,921,191,6.236,480.938,10.3,35.403,4.28558,4.90381,15.6
29.7,589,224,8.326,440.258,10.807,29.4863,3.96041,5.07452,15.8
19.5,555,190,5.862,480.938,9.912,16.1309,2.67682,3.96299,16.1
29,905,175,6.106,486.854,11.279,59.7781,4.81907,3.93461,16.1
30.2,873,143,0.735,471.901,2.844,32.1919,1.3814,1.67564,16.4
29.6,986,256,2.588,374.466,7.479,42.4167,2.79512,3.90278,16.7
22.9,158,158,4.197,483.862,7.364,10.6524,1.92089,1.79085,16.9
30.7,958,228,6.272,434.967,11.693,36.6096,5.6295,5.7945,16.9
31.9,243,243,3.594,402.652,9.05,28.2058,3.20478,2.45852,17.4
30.8,241,241,5.791,407.045,11.792,86.8847,6.29088,3.62097,18
18.4,569,204,9.839,468.656,14.95,85.6782,7.56846,4.62612,22.2
27.7,211,211,8.091,460.124,10.778,24.6956,3.49851,6.26247,24.7
25.6,584,219,8.655,448.499,13.028,11.5829,2.76915,5.72867,25.5
23.5,259,259,5.293,364.461,11.407,62.003,3.59714,4.40219,26.3
29.9,575,210,5.126,461.438,9.522,16.3702,3.73188,4.75273,27.9
27.8,938,208,9.545,465.19,13.143,30.3105,5.25882,9.96344,28.9
32.3,221,221,7.296,445.291,11.883,24.4729,2.51869,5.88402,31.1
